"","mes_ano","pais","valor"
"1908",2015-08-01,"Hawaii",16512
"1909",2015-09-01,"Hawaii",15893
"1910",2015-10-01,"Hawaii",13440
"1911",2015-11-01,"Hawaii",8673
"1912",2015-12-01,"Hawaii",11613
"1913",2016-01-01,"Hawaii",13419
"1914",2016-02-01,"Hawaii",18122
"1915",2016-03-01,"Hawaii",9418
"1916",2016-04-01,"Hawaii",13062
"1917",2016-05-01,"Hawaii",20164
"1918",2016-06-01,"Hawaii",18298
"1919",2016-07-01,"Hawaii",15982
"1920",2016-08-01,"Hawaii",13281
"1921",2016-09-01,"Hawaii",12720
"1922",2016-10-01,"Hawaii",14265
"1923",2016-11-01,"Hawaii",6992
"1924",2016-12-01,"Hawaii",8603
"1925",2017-01-01,"Hawaii",19758
"1926",2017-02-01,"Hawaii",9701
"1927",2017-03-01,"Hawaii",7295
"1928",2017-04-01,"Hawaii",14099
"1929",2017-05-01,"Hawaii",14260
"1930",2017-06-01,"Hawaii",11400
"1931",2017-07-01,"Hawaii",12408
"1932",2017-08-01,"Hawaii",11346
"1933",2017-09-01,"Hawaii",13193
"1934",2017-10-01,"Hawaii",10508
"1935",2017-11-01,"Hawaii",7559
"1936",2017-12-01,"Hawaii",9705
"1937",2018-01-01,"Hawaii",8919
"1938",2018-02-01,"Hawaii",19266
"1939",2018-03-01,"Hawaii",7860
"1940",2018-04-01,"Hawaii",10396
"1941",2018-05-01,"Hawaii",12262
"1942",2018-06-01,"Hawaii",12691
"1943",2018-07-01,"Hawaii",8965
"1944",2018-08-01,"Hawaii",10015
"1945",2018-09-01,"Hawaii",11177
"1946",2018-10-01,"Hawaii",7325
"1947",2018-11-01,"Hawaii",6184
"1948",2018-12-01,"Hawaii",8187
"1949",2019-01-01,"Hawaii",10944
"1950",2019-02-01,"Hawaii",11604
"1951",2019-03-01,"Hawaii",6740
"1952",2019-04-01,"Hawaii",6502
"1953",2019-05-01,"Hawaii",8231
"1954",2019-06-01,"Hawaii",9119
"1955",2019-07-01,"Hawaii",8562
"1956",2019-08-01,"Hawaii",7924
"1957",2019-09-01,"Hawaii",6179
"1958",2019-10-01,"Hawaii",5039
"1959",2019-11-01,"Hawaii",4258
"1960",2019-12-01,"Hawaii",6980
"1961",2020-01-01,"Hawaii",12445
"1962",2020-02-01,"Hawaii",2151
"1963",2020-03-01,"Hawaii",467
"1964",2020-04-01,"Hawaii",11
"1965",2020-05-01,"Hawaii",18
"1966",2020-06-01,"Hawaii",29
"1967",2020-07-01,"Hawaii",20
"1968",2020-08-01,"Hawaii",44
"1969",2020-09-01,"Hawaii",27
"1970",2020-10-01,"Hawaii",73
"1971",2020-11-01,"Hawaii",188
"1972",2020-12-01,"Hawaii",404
"1973",2021-01-01,"Hawaii",105
"1974",2021-02-01,"Hawaii",81
"1975",2021-03-01,"Hawaii",141
"1976",2021-04-01,"Hawaii",167
"1977",2021-05-01,"Hawaii",654
"1978",2021-06-01,"Hawaii",597
"1979",2021-07-01,"Hawaii",463
"1980",2021-08-01,"Hawaii",564
"1981",2021-09-01,"Hawaii",340
"1982",2021-10-01,"Hawaii",361
"1983",2021-11-01,"Hawaii",873
"1984",2021-12-01,"Hawaii",2341
"1985",2022-01-01,"Hawaii",789
"1986",2022-02-01,"Hawaii",358
"1987",2022-03-01,"Hawaii",1560
"1988",2022-04-01,"Hawaii",588
"1989",2022-05-01,"Hawaii",1143
"1990",2022-06-01,"Hawaii",1080
"1991",2022-07-01,"Hawaii",859
"1992",2022-08-01,"Hawaii",852
"1993",2022-09-01,"Hawaii",684
"1994",2022-10-01,"Hawaii",434
"1995",2022-11-01,"Hawaii",795
"1996",2022-12-01,"Hawaii",2068
"1997",2023-01-01,"Hawaii",1164
"1998",2023-02-01,"Hawaii",NA
"1999",1999-01-01,"Hong Kong SAR",257085
"2000",1999-02-01,"Hong Kong SAR",307609
"2001",1999-03-01,"Hong Kong SAR",236152
"2002",1999-04-01,"Hong Kong SAR",249008
"2003",1999-05-01,"Hong Kong SAR",261447
"2004",1999-06-01,"Hong Kong SAR",233513
"2005",1999-07-01,"Hong Kong SAR",291015
"2006",1999-08-01,"Hong Kong SAR",296856
"2007",1999-09-01,"Hong Kong SAR",229189
"2008",1999-10-01,"Hong Kong SAR",260744
"2009",1999-11-01,"Hong Kong SAR",287683
"2010",1999-12-01,"Hong Kong SAR",296151
"2011",2000-01-01,"Hong Kong SAR",308782
"2012",2000-02-01,"Hong Kong SAR",293947
"2013",2000-03-01,"Hong Kong SAR",288798
"2014",2000-04-01,"Hong Kong SAR",305229
"2015",2000-05-01,"Hong Kong SAR",334287
"2016",2000-06-01,"Hong Kong SAR",279273
"2017",2000-07-01,"Hong Kong SAR",332684
"2018",2000-08-01,"Hong Kong SAR",354895
"2019",2000-09-01,"Hong Kong SAR",311743
"2020",2000-10-01,"Hong Kong SAR",317061
"2021",2000-11-01,"Hong Kong SAR",304466
"2022",2000-12-01,"Hong Kong SAR",354680
"2023",2001-01-01,"Hong Kong SAR",370531
"2024",2001-02-01,"Hong Kong SAR",277074
"2025",2001-03-01,"Hong Kong SAR",329777
"2026",2001-04-01,"Hong Kong SAR",318899
"2027",2001-05-01,"Hong Kong SAR",380989
"2028",2001-06-01,"Hong Kong SAR",337137
"2029",2001-07-01,"Hong Kong SAR",400172
"2030",2001-08-01,"Hong Kong SAR",423883
"2031",2001-09-01,"Hong Kong SAR",348174
"2032",2001-10-01,"Hong Kong SAR",397809
"2033",2001-11-01,"Hong Kong SAR",406225
"2034",2001-12-01,"Hong Kong SAR",457913
"2035",2002-01-01,"Hong Kong SAR",454817
"2036",2002-02-01,"Hong Kong SAR",471528
"2037",2002-03-01,"Hong Kong SAR",465230
"2038",2002-04-01,"Hong Kong SAR",525498
"2039",2002-05-01,"Hong Kong SAR",544163
"2040",2002-06-01,"Hong Kong SAR",423763
"2041",2002-07-01,"Hong Kong SAR",565322
"2042",2002-08-01,"Hong Kong SAR",659726
"2043",2002-09-01,"Hong Kong SAR",593509
"2044",2002-10-01,"Hong Kong SAR",669828
"2045",2002-11-01,"Hong Kong SAR",697841
"2046",2002-12-01,"Hong Kong SAR",753974
"2047",2003-01-01,"Hong Kong SAR",750929
"2048",2003-02-01,"Hong Kong SAR",713489
"2049",2003-03-01,"Hong Kong SAR",666343
"2050",2003-04-01,"Hong Kong SAR",322216
"2051",2003-05-01,"Hong Kong SAR",311821
"2052",2003-06-01,"Hong Kong SAR",470562
"2053",2003-07-01,"Hong Kong SAR",693008
"2054",2003-08-01,"Hong Kong SAR",946122
"2055",2003-09-01,"Hong Kong SAR",762001
"2056",2003-10-01,"Hong Kong SAR",878581
"2057",2003-11-01,"Hong Kong SAR",930432
"2058",2003-12-01,"Hong Kong SAR",1021707
"2059",2004-01-01,"Hong Kong SAR",1115151
"2060",2004-02-01,"Hong Kong SAR",824619
